Posting Date,Material,Material Description,Plant,Movement Type,Quantity,Unit,Cost Center
12.01.2024,100045782,Diesel EN590,0010,201,5000.000,L,CC-OPS-001
15.01.2024,100045782,Diesel EN590,0010,201,3200.000,L,CC-OPS-001
18.01.2024,100087431,Natural Gas,0020,201,1250.000,M3,CC-HEAT-002
22.01.2024,100045782,Diesel EN590,0010,201,4800.000,L,CC-OPS-001
29.01.2024,100045782,Diesel EN590,0010,201,-1200.000,L,CC-OPS-001
05.02.2024,100087431,Natural Gas,0020,201,1380.000,M3,CC-HEAT-002
12.02.2024,100045782,Diesel EN590,0010,201,6200.000,L,CC-OPS-001
14.02.2024,100092310,Petrol Unleaded,0010,201,890.000,L,CC-FLEET-003
19.02.2024,100045782,Diesel EN590,0010,201,4400.000,L,CC-OPS-001
26.02.2024,100087431,Natural Gas,0020,201,1100.000,M3,CC-HEAT-002
04.03.2024,100045782,Diesel EN590,0010,261,7800.000,L,CC-PROD-001
11.03.2024,100092310,Petrol Unleaded,0010,201,1050.000,L,CC-FLEET-003
18.03.2024,100087431,Natural Gas,0020,201,1490.000,M3,CC-HEAT-002
25.03.2024,100045782,Diesel EN590,0010,201,5500.000,L,CC-OPS-001
